New run.
06-08-17,9.40
rPWM,bPWM,Li_avg,Lo_avg,Li_SD,Lo_SD
140,26,16367.502,1997.384,6.44,18.175844
rPWM,bPWM,Li_avg,Lo_avg,Li_SD,Lo_SD
27,140,8513.617,305.483,6.69,1.269720
Global parameters (Constants)
Date, tod, TCon, rPARMax, bPARMax, ConMax, rSpecLSupply, bSpecLSupply,FrR_target, rPBR, bPBR, rEpsa, rEpsb, rEpsc, bEpsa, bEpsb, bEpsc, rLambda, ra1, ra0, bLambda, ba1, ba0, rNPARa1, bNPARa1, pHMin, width, BgLo, BgLi, rPWMmin, bPWMmin, daylength
06-08-17,9.467,300000,1978.00,719.00,20.00,0.0959,0.0281,0.750,1.2351,1.5182,0.07523,0.07815,0.00000,0.10930,0.17050,0.51890,0.6650,0.0128,-1.8235,0.5179,0.0169,-2.3531,1.0410,0.9192,6.50,4.0,0.167,0.099,27,26,18.0
Continuous
Date, tod, tor, Illum, state, rLi_ref, rLo_ref, bLi_ref, bLo_ref, rKd, bKd, b_rAbs, rCon2, bCon2, rCon, bCon, rPARimax, bPARimax, FrR, rL_avail, bL_avail, L_avail, pH, pHAvg, Temp, rPWM, bPWM, LiAvg, LoAvg, rLi, rLo, bLi, bLo, Mu, TMu, ConRate, SpConRate, comment
06-08-17,11.525,2.125,3,continuous,16194.00,1637.033,8362.88,229.072,0.002200,0.000475,1.675,2.995,2.970,2.995,2.995,2.58,0.79,0.800,7.29,1.82,9.11,7.34,7.58,25.75,31,37,1.751,0.068,0.270,0.027,1.481,0.041,0.000000,1.509,0.000000,0.000000,

06-08-17,11.609,2.209,3,continuous,16194.00,1637.033,8362.88,229.072,0.002200,0.000475,1.675,2.995,2.970,2.995,2.995,2.58,0.79,0.800,7.31,1.82,9.13,7.36,7.58,25.75,31,37,1.737,0.067,0.267,0.027,1.470,0.040,0.000000,1.593,0.000000,0.000000,

06-08-17,11.768,2.368,3,continuous,17242.83,286.462,9170.31,15.184,0.002200,0.000475,1.588,5.608,5.462,5.608,5.608,16.92,5.05,0.833,24.60,4.93,29.54,7.46,7.58,25.75,44,56,42.503,1.165,73.172,1.216,-30.669,-0.051,0.000000,0.094,0.000000,0.000000,Reset_Mu

06-08-17,11.852,2.452,3,continuous,17242.83,286.462,9170.31,15.184,0.002200,0.000475,1.588,5.608,5.462,5.608,5.608,16.92,5.05,0.833,24.63,4.94,29.57,7.47,7.57,25.75,44,56,370.945,0.457,-10.478,-0.174,381.423,0.632,0.000000,0.000,0.000000,0.000000,

06-08-17,12.010,2.610,3,periodic,16842.92,274.106,8893.05,14.783,0.002200,0.000475,1.574,5.631,5.625,5.608,5.608,17.13,5.11,0.833,24.63,4.94,29.57,7.51,7.40,25.75,44,56,370.945,0.457,-10.478,-0.174,381.423,0.632,0.000000,0.022,0.000000,0.000000,Reset_Mu

