rPWM,bPWM,Li_avg,Lo_avg,Li_SD,Lo_SD
140,26,15540.430,22.894,16381.05,24.133068
rPWM,bPWM,Li_avg,Lo_avg,Li_SD,Lo_SD
27,140,7514.242,1.118,7920.72,1.178777
Global parameters (Constants)
Date, tod, TCon, rPARMax, bPARMax, ConMax, rSpecLSupply, bSpecLSupply,FrR_target, rPBR, bPBR, rLambda, ra1, ra0, bLambda, ba1, ba0, rNPARa1, bNPARa1, pHMin, width, BgLo, BgLi, rPWMmin, bPWMmin, daylength
05-05-17,18.363,300000,1978.00,719.00,20.00,0.0959,0.0281,0.750,1.2351,1.5182,0.6650,0.0128,-1.8235,0.5179,0.0169,-2.3531,1.0410,0.9192,6.50,4.0,0.157,0.100,27,26,18.0
Continuous
Date, tod, tor, Illum, state, rLi_ref, rLo_ref, bLi_ref, bLo_ref, rEpsa, rEpsb, rEpsc, rKd, bEpsa, bEpsb, bEpsc, bKd, b_rAbs, rCon2, bCon2, rCon, bCon, rPARimax, bPARimax, FrR, rL_avail, bL_avail, L_avail, pH, pHAvg, Temp, rPWM, bPWM, LiAvg, LoAvg, rLi, rLo, bLi, bLo, Mu, TMu, ConRate, SpConRate, comment
05-05-17,20.127,1.831,3,continuous,15411.96,26.840,7369.43,1.243,0.10740,0.06075,0.00000,0.000600,0.10930,0.17050,0.51890,0.000169,1.317,11.035,11.116,11.035,11.035,128.86,37.70,0.817,2.46,0.55,3.01,7.53,7.58,25.87,32,38,2.930,0.015,9.390,0.016,-6.460,-0.001,-0.2589,1.594,0.000000,0.000000,

05-05-17,20.211,1.915,3,continuous,15411.96,26.840,7369.43,1.243,0.10740,0.06075,0.00000,0.000600,0.10930,0.17050,0.51890,0.000169,1.317,11.035,11.116,11.035,11.035,128.86,37.70,0.817,2.01,0.45,2.46,7.51,7.58,25.87,31,36,2.115,0.027,16.891,0.029,-14.777,-0.002,-0.2460,1.678,0.000000,0.000000,

05-05-17,20.295,1.999,3,continuous,15411.96,26.840,7369.43,1.243,0.10740,0.06075,0.00000,0.000600,0.10930,0.17050,0.51890,0.000169,1.317,11.035,11.116,11.035,11.035,128.86,37.70,0.817,1.61,0.36,1.97,7.51,7.58,25.75,31,35,0.794,0.022,13.978,0.024,-13.184,-0.002,-0.2343,1.762,0.000000,0.000000,

05-05-17,20.379,2.083,3,continuous,15411.96,26.840,7369.43,1.243,0.10740,0.06075,0.00000,0.000600,0.10930,0.17050,0.51890,0.000169,1.317,11.035,11.116,11.035,11.035,128.86,37.70,0.817,1.25,0.28,1.53,7.55,7.58,25.87,30,34,0.338,0.027,17.432,0.030,-17.095,-0.003,-0.2236,1.846,0.000000,0.000000,

05-05-17,20.463,2.166,3,continuous,15411.96,26.840,7369.43,1.243,0.10740,0.06075,0.00000,0.000600,0.10930,0.17050,0.51890,0.000169,1.317,11.035,11.116,11.035,11.035,128.86,37.70,0.817,0.94,0.21,1.15,7.57,7.58,25.87,29,33,0.254,0.023,14.573,0.025,-14.319,-0.002,-0.2139,1.930,0.000000,0.000000,

