New run. 22-05-17,8.74
rPWM,bPWM,Li_avg,Lo_avg,Li_SD,Lo_SD
140,26,15180.394,22.532,9.50,0.422277
rPWM,bPWM,Li_avg,Lo_avg,Li_SD,Lo_SD
27,140,7284.772,1.083,7.46,0.000035
Global parameters (Constants)
Date, tod, TCon, rPARMax, bPARMax, ConMax, rSpecLSupply, bSpecLSupply,FrR_target, rPBR, bPBR, rLambda, ra1, ra0, bLambda, ba1, ba0, rNPARa1, bNPARa1, pHMin, width, BgLo, BgLi, rPWMmin, bPWMmin, daylength
22-05-17,8.800,300000,1978.00,719.00,20.00,0.0959,0.0281,0.750,1.2351,1.5182,0.6650,0.0128,-1.8235,0.5179,0.0169,-2.3531,1.0410,0.9192,6.50,4.0,0.167,0.099,27,26,18.0
Continuous
Date, tod, tor, Illum, state, rLi_ref, rLo_ref, bLi_ref, bLo_ref, rEpsa, rEpsb, rEpsc, rKd, bEpsa, bEpsb, bEpsc, bKd, b_rAbs, rCon2, bCon2, rCon, bCon, rPARimax, bPARimax, FrR, rL_avail, bL_avail, L_avail, pH, pHAvg, Temp, rPWM, bPWM, LiAvg, LoAvg, rLi, rLo, bLi, bLo, Mu, TMu, ConRate, SpConRate, comment
22-05-17,11.151,2.418,3,continuous,15180.39,22.532,7284.77,1.083,0.07523,0.07815,0.00000,0.000628,0.10930,0.17050,0.51890,0.000147,1.300,14.721,15.545,14.721,14.721,305.95,89.51,0.815,240.51,54.44,294.95,7.62,6.77,26.12,143,158,25136.742,22.919,14362.133,21.317,10774.610,1.602,0.0000,2.181,0.000000,0.000000,

22-05-17,11.235,2.502,3,continuous,15180.39,22.532,7284.77,1.083,0.07523,0.07815,0.00000,0.000628,0.10930,0.17050,0.51890,0.000147,1.300,14.721,15.545,14.721,14.721,305.95,89.51,0.815,241.51,54.66,296.18,7.62,6.77,26.12,143,159,25127.027,22.833,14298.439,21.223,10828.589,1.610,0.0000,2.265,0.000000,0.000000,

22-05-17,11.319,2.586,3,continuous,15180.39,22.532,7284.77,1.083,0.07523,0.07815,0.00000,0.000628,0.10930,0.17050,0.51890,0.000147,1.300,14.721,15.545,14.721,14.721,305.95,89.51,0.815,242.41,54.87,297.28,7.62,6.77,26.12,143,159,25179.917,22.732,14217.273,21.102,10962.646,1.630,0.0000,2.349,0.000000,0.000000,

22-05-17,11.402,2.670,3,continuous,15180.39,22.532,7284.77,1.083,0.07523,0.07815,0.00000,0.000628,0.10930,0.17050,0.51890,0.000147,1.300,14.721,15.545,14.721,14.721,305.95,89.51,0.815,243.21,55.05,298.26,7.62,6.77,26.12,144,159,25304.302,22.865,14303.076,21.230,11001.228,1.636,0.0000,2.433,0.000000,0.000000,

22-05-17,11.486,2.754,3,continuous,15180.39,22.532,7284.77,1.083,0.07523,0.07815,0.00000,0.000628,0.10930,0.17050,0.51890,0.000147,1.300,14.721,15.545,14.721,14.721,305.95,89.51,0.815,243.90,55.20,299.11,7.60,6.76,26.12,144,159,25420.732,22.920,14330.917,21.271,11089.816,1.649,0.0000,2.517,0.000000,0.000000,

22-05-17,11.570,2.837,3,continuous,15180.39,22.532,7284.77,1.083,0.07523,0.07815,0.00000,0.000628,0.10930,0.17050,0.51890,0.000147,1.300,14.721,15.545,14.721,14.721,305.95,89.51,0.815,244.49,55.34,299.83,7.62,6.76,26.12,144,159,25492.800,22.934,14333.814,21.275,11158.988,1.659,0.0000,2.601,0.000000,0.000000,

22-05-17,11.654,2.921,3,continuous,15180.39,22.532,7284.77,1.083,0.07523,0.07815,0.00000,0.000628,0.10930,0.17050,0.51890,0.000147,1.300,14.721,15.545,14.721,14.721,305.95,89.51,0.815,244.98,55.45,300.43,7.62,6.76,26.12,144,160,25513.970,22.855,14271.797,21.183,11242.174,1.671,0.0000,2.684,0.000000,0.000000,

22-05-17,11.738,3.005,3,continuous,15180.39,22.532,7284.77,1.083,0.07523,0.07815,0.00000,0.000628,0.10930,0.17050,0.51890,0.000147,1.300,14.721,15.545,14.721,14.721,305.95,89.51,0.815,245.36,55.53,300.89,7.60,6.76,26.25,144,160,25530.789,22.784,14216.708,21.102,11314.083,1.682,0.0000,2.768,0.000000,0.000000,

22-05-17,11.822,3.089,3,continuous,15180.39,22.532,7284.77,1.083,0.07523,0.07815,0.00000,0.000628,0.10930,0.17050,0.51890,0.000147,1.300,14.721,15.545,14.721,14.721,305.95,89.51,0.815,245.64,55.60,301.23,7.60,6.76,26.12,145,160,25502.333,22.688,14148.518,21.000,11353.817,1.688,0.0000,2.852,0.000000,0.000000,

22-05-17,11.906,3.173,3,continuous,15180.39,22.532,7284.77,1.083,0.07523,0.07815,0.00000,0.000628,0.10930,0.17050,0.51890,0.000147,1.300,14.721,15.545,14.721,14.721,305.95,89.51,0.815,245.81,55.64,301.44,7.60,6.76,26.12,145,160,25823.314,23.087,14411.687,21.391,11411.628,1.697,0.0000,2.936,0.000000,0.000000,

